datetime,Open,High,Low,Close,Final,Volume,Final_yes,earning_rate,label,Signal
2024-04-02,2801,2837,2702,2735,2749,180549633,,,-0.01746089487086213,0
2024-04-03,2789,2789,2682,2701,2710,176781996,2749.0,-0.01746089487086213,-0.06199261992619926,0
2024-04-06,2659,2698,2521,2542,2575,237332242,2710.0,-0.06199261992619926,0.021359223300970873,1
2024-04-07,2524,2669,2524,2630,2599,110061810,2575.0,0.021359223300970873,-0.002308580223162755,0
2024-04-08,2669,2691,2583,2593,2622,113079812,2599.0,-0.002308580223162755,-0.012204424103737605,0
2024-04-09,2602,2640,2578,2590,2604,96937993,2622.0,-0.012204424103737605,-0.06989247311827956,0
2024-04-13,2439,2530,2422,2422,2429,257133722,2604.0,-0.06989247311827956,-0.009880609304240428,0
2024-04-14,2405,2405,2405,2405,2424,8415301,2429.0,-0.009880609304240428,0.009900990099009901,1
2024-04-15,2410,2448,2410,2448,2445,63761581,2424.0,0.009900990099009901,-0.0098159509202454,0
2024-04-16,2421,2450,2421,2421,2421,142407201,2445.0,-0.0098159509202454,0.00660883932259397,1
2024-04-17,2445,2445,2409,2437,2443,96701452,2421.0,0.00660883932259397,0.062218583708555056,1
2024-04-20,2526,2602,2526,2595,2582,153603853,2443.0,0.062218583708555056,-0.0034856700232378003,0
2024-04-21,2670,2670,2562,2573,2609,100598537,2582.0,-0.0034856700232378003,-0.012265235722499043,0
2024-04-22,2598,2610,2541,2577,2573,118034857,2609.0,-0.012265235722499043,0.045472211426350564,1
2024-04-23,2606,2752,2562,2690,2673,256331080,2573.0,0.045472211426350564,-0.0014964459408903852,0
2024-04-24,2710,2734,2650,2669,2685,124406123,2673.0,-0.0014964459408903852,-0.0223463687150838,0
2024-04-27,2650,2679,2604,2625,2634,116902815,2685.0,-0.0223463687150838,-0.03416856492027335,0
2024-04-28,2649,2649,2526,2544,2548,92903900,2634.0,-0.03416856492027335,-0.00706436420722135,0
2024-04-29,2565,2652,2517,2530,2562,64908884,2548.0,-0.00706436420722135,-0.02029664324746292,0
2024-04-30,2530,2570,2467,2510,2505,75395281,2562.0,-0.02029664324746292,-0.0011976047904191617,0
2024-05-01,2511,2561,2489,2502,2505,75199966,2505.0,-0.0011976047904191617,-0.014770459081836327,0
2024-05-05,2530,2566,2457,2468,2490,83839067,2505.0,-0.014770459081836327,-0.028112449799196786,0
2024-05-06,2461,2490,2415,2420,2437,103396490,2490.0,-0.028112449799196786,-0.010258514567090685,0
2024-05-07,2425,2475,2389,2412,2408,80887672,2437.0,-0.010258514567090685,-0.0029069767441860465,0
2024-05-08,2401,2450,2382,2401,2406,63020944,2408.0,-0.0029069767441860465,-0.020781379883624274,0
2024-05-11,2410,2429,2351,2356,2370,77431245,2406.0,-0.020781379883624274,-0.024894514767932488,0
2024-05-12,2391,2416,2311,2311,2349,79891568,2370.0,-0.024894514767932488,-0.037462750106428265,0
2024-05-13,2313,2367,2218,2261,2252,103295134,2349.0,-0.037462750106428265,-0.02886323268206039,0
2024-05-14,2300,2309,2174,2187,2215,113748147,2252.0,-0.02886323268206039,0.017607223476297968,1
2024-05-15,2198,2279,2114,2254,2185,184372441,2215.0,0.017607223476297968,0.008695652173913044,1
2024-05-18,2275,2275,2186,2204,2221,90492088,2185.0,0.008695652173913044,-0.03782080144079244,0
2024-05-19,2200,2200,2075,2137,2103,125502905,2221.0,-0.03782080144079244,0.007608178792201617,1
2024-05-21,2062,2145,2062,2119,2113,63610825,2103.0,0.007608178792201617,-0.01893043066729768,0
2024-05-25,2135,2141,2071,2073,2075,126160462,2113.0,-0.01893043066729768,-0.019759036144578312,0
2024-05-26,2034,2051,2034,2034,2034,73033241,2075.0,-0.019759036144578312,0.00688298918387414,1
2024-05-27,1994,2053,1994,2048,2002,144418170,2034.0,0.00688298918387414,0.01998001998001998,1
2024-05-28,2042,2042,2042,2042,2042,11874154,2002.0,0.01998001998001998,0.019588638589618023,1
2024-05-29,2082,2082,2082,2082,2082,4783287,2042.0,0.019588638589618023,0.0196926032660903,1
2024-06-01,2123,2123,2091,2123,2123,162660495,2082.0,0.0196926032660903,0.019783325482807347,1
2024-06-02,2155,2165,2110,2165,2143,113896395,2123.0,0.019783325482807347,0.01726551563229118,1
2024-06-05,2184,2185,2145,2180,2177,98873014,2143.0,0.01726551563229118,-0.01929260450160772,0
2024-06-08,2190,2190,2134,2135,2135,131872416,2177.0,-0.01929260450160772,0.019672131147540985,1
2024-06-09,2134,2177,2099,2177,2155,97973520,2135.0,0.019672131147540985,0.019953596287703015,1
2024-06-10,2198,2198,2165,2198,2198,42976870,2155.0,0.019953596287703015,-0.006369426751592357,0
2024-06-11,2238,2241,2179,2184,2206,76062398,2198.0,-0.006369426751592357,-0.019945602901178604,0
2024-06-12,2180,2198,2162,2162,2165,64043975,2206.0,-0.019945602901178604,-0.019399538106235566,0
2024-06-15,2162,2162,2122,2123,2123,94124788,2165.0,-0.019399538106235566,-0.019783325482807347,0
2024-06-16,2082,2099,2081,2081,2081,114734008,2123.0,-0.019783325482807347,-0.019702066314271984,0
2024-06-18,2040,2040,2040,2040,2040,18256964,2081.0,-0.019702066314271984,-0.0196078431372549,0
2024-06-19,2000,2000,2000,2000,2000,22821971,2040.0,-0.0196078431372549,,0
